,Momentum Punch,Benchmark,100% BOVA11,60% BOVA11 / 40% CDI,Pesos iguais entre ETFs,ESG estática (ISUS11/GOVE11/REVE11),40% BOVA11 / 40% IVVB11 / 20% CDI
2025-04-23,1.0891642337587093,1.3759454867253422,1.28603633887541,1.3759454867253422,1.1575564813290657,1.1112032435975783,1.333770704276134
2025-04-24,1.1130266674157143,1.3909449193761785,1.3089514881016726,1.3909449193761785,1.1837861670392456,1.1381757351570854,1.3514841373873359
2025-04-25,1.1130376647895346,1.3919359486259377,1.3100474346480302,1.3919359486259377,1.1874589824030668,1.1425664873749413,1.3556403622706763
2025-04-28,1.114777201172814,1.3932445975248828,1.3116414143315591,1.3932445975248828,1.1905682014765977,1.14609198535826,1.3531248484761917
2025-04-29,1.1152111668985423,1.3948708453090748,1.3137337312017936,1.3948708453090748,1.1861604959421532,1.139825178933158,1.356222577805683
2025-04-30,1.118339731865716,1.3937041459128758,1.3114422618865975,1.3937041459128758,1.193322469844268,1.1496641608159228,1.3612212685499172
2025-05-02,1.1180646673174455,1.3953946260278527,1.313634154979313,1.3953946260278527,1.200842345649902,1.1586833360766315,1.3709560074326748
2025-05-05,1.1056023645082993,1.386099393181203,1.2985897840225153,1.386099393181203,1.1995534586518442,1.1614484200242818,1.3648958490742256
2025-05-06,1.1048633145693008,1.386645928213645,1.298988392961973,1.386645928213645,1.1871380926249424,1.145301610108745,1.3629323219473612
2025-05-07,1.1012626314713025,1.3858524947904989,1.2972946850311962,1.3858524947904989,1.1873308712576431,1.1460473634931438,1.3681273648107362
2025-05-08,1.126141393952528,1.4042253989499336,1.3254901104947512,1.4042253989499336,1.2100385296664362,1.1669687761462437,1.3759559940317752
2025-05-09,1.1251666752973497,1.4057968724579701,1.327482851142505,1.4057968724579701,1.204467371441452,1.159220156118519,1.3747132091650982
2025-05-12,1.1235180592450174,1.4070515592659596,1.328977254603553,1.4070515592659596,1.2182376879291572,1.1764558531835374,1.3971328927358349
2025-05-13,1.1438493234611875,1.4214074609215683,1.3510953379756678,1.4214074609215683,1.2351503494691523,1.1917061051862554,1.4032071398811086
2025-05-14,1.1419748291691623,1.419829293199692,1.3481063790288044,1.419829293199692,1.2359604285844317,1.193627003299378,1.405152106806212
2025-05-15,1.1509664328947447,1.4249224289269011,1.3556784286308272,1.4249224289269011,1.2435183651564645,1.2011243020433018,1.415714950691332
2025-05-16,1.1534138394422135,1.4254830136304544,1.3560768855455176,1.4254830136304544,1.2435308334968695,1.2010226827918336,1.4184399818145248
2025-05-19,1.1562433507948702,1.4277404014025048,1.3591654207148618,1.4277404014025048,1.2500482989205182,1.2085037871781945,1.4186714787665493
2025-05-20,1.1596905986300974,1.4306876751294995,1.3633499024305638,1.4306876751294995,1.2526748313528782,1.210649229836015,1.4205875230571958
2025-05-21,1.1393933292642413,1.4168837242154646,1.3409329383662394,1.4168837242154646,1.2279346625383054,1.1854043964481813,1.399734256112854
2025-05-22,1.1371076291000144,1.4137804410724162,1.3355529338816992,1.4137804410724162,1.2254234773873114,1.1837574524592196,1.3991538474136915
2025-05-23,1.1417665733240572,1.4167450698385655,1.339737415597401,1.4167450698385655,1.2290157284350165,1.1871479706571262,1.3959274703668554
2025-05-26,1.1479931060767252,1.4204661413857482,1.3451174200819411,1.4204661413857482,1.2331869244330853,1.1909310206604555,1.4049931344453186
