,ISUS11,GOVE11,REVE11,BOVA11
2025-07-10,-0.0063030484517830904,-0.0917975579910427,0.03268527852796115,-0.007185802907141552
2025-07-11,0.022658135782025617,-0.07700334182181494,0.02741767569977634,-0.006027729382265317
2025-07-14,0.015381440062064074,-0.09306303797508111,0.022035063057811288,-0.00484437114538931
2025-07-15,0.02377807423362775,-0.07593812540217723,0.017980300430091325,-0.003952938476302108
2025-07-16,0.042791753429424303,-0.06268745692379141,0.014842864538974538,-0.0032631785304576577
2025-07-17,0.0613314630854975,-0.07564795882174075,0.012364522399980928,-0.0027183192253109447
2025-07-18,0.0614042216866162,-0.09652805110115398,0.010374658602604192,-0.002280851052972338
2025-07-21,0.044728229439497995,-0.05560438690837866,0.008340231593700643,-0.0018335857343537321
2025-07-22,0.03278918152717959,-0.04538189214073584,0.006806935777167016,-0.001496493256266699
2025-07-23,0.02476505294326642,-0.13290656684909918,0.005620083634947313,-0.0012355658308934169
2025-07-24,0.02747007824022013,-0.11072906616330211,0.004682286416772268,-0.0010293927070845845
2025-07-25,0.023051595602286163,-0.09291861611366034,0.003929154188410019,-0.0008638178672863622
2025-07-26,0.01945668494067196,-0.07842790017830413,0.003316400150609684,-0.0007291049339876099
2025-07-28,-0.001959079504965781,-0.0650433952620594,0.0027504233232414376,-0.0006046758908635527
2025-07-29,-0.001637975869378504,-0.05438243401130489,0.002299614192597048,-0.0005055662700359622
2025-07-30,-0.0013784452104586913,-0.0457657570525824,0.001935249614446995,-0.0004254613370860951
2025-07-31,0.005486706042323322,-0.07446518638864737,0.0016372578565566596,-0.00035994835581164227
2025-08-01,0.004662086554768654,-0.07476628004825167,0.0013911876781556119,0.004958319012595051
2025-08-04,0.031617484484995254,-0.1075576731986145,0.0011330705375285782,-0.05309536443371291
2025-08-05,0.055249712390400406,-0.10311254043971543,0.0009340086867783879,-0.04264005083599417
2025-08-06,0.0557041899643694,-0.08557294183642113,0.0007771700239854284,-0.035479936964239664
2025-08-07,0.046696863117400865,-0.11945174764317608,0.000651502198527761,-0.029742857061432305
2025-08-08,0.03938192013613499,-0.080818097609811,0.0005494460620712617,-0.025083715333703595
2025-08-10,0.03263611630084018,-0.06697461230150427,0.0004553304034137987,-0.02078707813275914
2025-08-11,0.03971834902011846,-0.08286836007033531,0.000380468404789062,-0.0550252273097173
2025-08-12,0.03110680177173273,-0.15060810396863397,0.0003200278384925842,-0.04628401290839117
2025-08-13,0.04571717925693493,-0.21183496546832842,0.04974807759934249,-0.039141467213087866
2025-08-14,0.038833312464135294,-0.2530707261951536,0.04225725806590016,-0.08111109684496523
2025-08-15,0.0317196550198184,-0.21575294874606454,0.03602600810735721,-0.06915046470777463
2025-08-18,0.04524435184693075,-0.17633972078250817,0.0294448638940126,-0.05753914286765162
2025-08-19,0.045869862881286354,-0.14575440590351502,0.02433778745218121,-0.047559242737010905
2025-08-20,0.03824922322904686,-0.11907522117555197,0.020294402613951497,-0.03965793612159455
2025-08-21,0.0294887734155763,-0.12697733872849937,0.01704208651379047,-0.03330248202910742
2025-08-22,0.019118442181785128,-0.042622079513144694,0.014392599904036725,-0.028125036172563653
2025-08-23,0.02327518707131872,-0.03616377244429454,0.012211762395376314,-0.02386339239544771
2025-08-24,0.019824589868890824,-0.030802414374726445,0.010401342009534395,-0.020325592471955815
2025-08-25,-0.0018234174626469133,-0.030203552698290653,0.008887779516655316,-0.01736789197687568
2025-08-26,-0.04835666050772312,-0.025877948110947752,0.007614915352873937,-0.014880547724426162
2025-08-27,-0.03259802278337525,-0.022222159707888742,0.00653915312018226,-0.012778366609876777
2025-08-28,-0.13482742333693185,-0.09554201143476977,0.005626156769523555,-0.010994251470228332
2025-08-29,-0.1056843198793889,-0.11081673322456136,0.00484854169886916,-0.009474689185699638
2025-08-31,-0.08938309539019895,-0.09372386223372906,0.00410068083579444,-0.008013270542350716
2025-09-01,-0.07592981977644317,-0.08313302757399954,0.0034834769982325753,-0.006807172938511684
2025-09-02,-0.06473718222249367,-0.07087858196701889,0.002969985782481877,-0.005803743459920294
2025-09-03,-0.05536277304731876,-0.10773081550559652,0.002539910499412742,-0.004963319702302157
2025-09-04,-0.047467105366766696,-0.12128007293743445,0.11635937434480259,-0.004255466377682387
2025-09-05,-0.024975718840239258,-0.10420827600868053,0.09998023174158122,-0.0036564524087972323
2025-09-07,-0.021063430244127872,-0.08788470780801916,0.08431895996873583,-0.003083692235099489
2025-09-08,-0.0178513276548641,-0.08507147552271269,0.07146060088379472,-0.0026134394938292465
2025-09-09,-0.018092682023838395,-0.07239061876947037,0.06080859752144458,-0.009802287273276441
2025-09-10,-0.013067182835759755,-0.13720153524811513,0.051918740456034514,-0.008369250888203016
