,ISUS11,GOVE11,REVE11,BOVA11
2024-02-06,-3.016012714495958e-10,-0.07871858687137481,-6.201785026934355e-15,-0.02828015023839246
2024-02-07,-2.576830797761438e-10,-0.06725584346229044,-5.2987013554984185e-15,-0.024162087165401382
2024-02-08,-2.2075710483286438e-10,-0.14682230870915577,-4.539397664875697e-15,-0.020699661048707844
2024-02-09,-1.8955478900271667e-10,-0.22783655902736044,-3.8977887810967486e-15,-0.01777392345078191
2024-02-15,-1.4309052917435172e-10,-0.1719885525868787,-2.9423506640551916e-15,-0.013417124017058484
2024-02-16,-1.1165230792999345e-10,-0.1342011867917956,-2.295890890031013e-15,-0.010469266351389266
2024-02-18,-8.655840025687062e-11,-0.3287898691481736,-1.7798883542112824e-15,-0.008116293913131945
2024-02-19,-6.879703609668738e-11,-0.2613237817344777,-1.4146638915386778e-15,-0.0064508697440805686
2024-02-20,-5.5674215230618585e-11,-0.21147708236612606,-1.1448211499376087e-15,-0.0052203863848419504
2024-02-21,-4.566789372180954e-11,-0.3531982327806432,-9.39062551474955e-16,-0.004282126826973773
2024-02-22,-3.7852946655612695e-11,-0.29275696281822317,-7.783648811087874e-16,-0.003549345177629611
2024-02-23,-3.163449856856756e-11,-0.36294406532936774,-6.504957973624006e-16,-0.0029662619389348747
2024-02-24,-2.661252520131798e-11,-0.3053267325957796,-5.472296569878014e-16,-0.002495368163731547
2024-02-26,-2.2003428631798558e-11,-0.2524463544601457,-4.524534448214771e-16,-0.0020631884755532358
2024-02-27,-1.8352306400945174e-11,-0.21055686022308365,-3.7737592583761594e-16,-0.0017208348616875053
2024-02-28,-0.040023317377887536,-0.32093206656976997,-3.169605800585916e-16,-0.0014453407824965977
2024-02-29,-0.0338063648966556,-0.27108064149349276,-2.677260589407426e-16,-0.001220831282718541
2024-03-01,-0.028687605020831782,-0.3663078919622483,-2.2718856215847575e-16,-0.0010359802286571678
2024-03-04,-0.023332725026040335,-0.2979322014443928,-1.8478113617556667e-16,-0.16883822241706037
2024-03-05,-0.019213090592984504,-0.42188954779127225,-1.5215611143805845e-16,-0.1390280843423608
2024-03-06,-0.015973443114736613,-0.3507519344548627,-1.2650005364065747e-16,-0.11558563084090151
2024-03-07,-0.013381570714272093,-0.2938384530098769,-1.0597398450619412e-16,-0.0968305506546875
2024-03-08,-0.011279240492706564,-0.24767455542184025,-8.932479472987957e-17,-0.08161785273163544
2024-03-10,-0.009342509189832995,-0.20514695219173407,-7.398704870097111e-17,-0.06760344720841813
2024-03-11,-0.00780337053955633,-0.3196210362320367,-6.179799713445055e-17,-0.05646606683488333
2024-03-12,-0.0065616273861032505,-0.26876003566454654,-5.196413887412245e-17,-0.04748067372312333
2024-03-13,-0.00554757828759599,-0.22722523707820627,-4.3933480459776937e-17,-0.04014290040069698
2024-03-14,-0.004711229096178825,-0.19296891234551217,-3.731009833629565e-17,-0.03409098359109904
2024-03-15,-0.004015787143865114,-0.2973363862906297,-3.180261672198506e-17,-0.029058687410869158
2024-03-16,-0.003433577361390163,-0.280324928887309,-2.7191865728340493e-17,-0.024845751946315067
2024-03-17,-0.002943389503722087,-0.2403048967519062,-2.3309872983031672e-17,-0.021298697478963374
2024-03-18,-0.0025287033001190284,-0.20644898837985473,-2.002580788679506e-17,-0.14509655256498757
2024-03-19,-0.0021764699143353512,-0.2891271271905446,-1.7236331511813756e-17,-0.1248854625675572
2024-03-20,-0.001876256048776605,-0.37338857519089863,-1.4858818421864222e-17,-0.1076592435316061
2024-03-21,-0.0016196304322003286,-0.3223182144086478,-1.2826498024233968e-17,-0.09293411058962382
2024-03-22,-0.0013997159583765064,-0.2785536375543989,-1.10849077775197e-17,-0.10577432857880543
2024-03-24,-0.0011870413128464601,-0.3577828694799093,-9.400652612599216e-18,-0.08970284085870539
2024-03-25,-0.0010106481359813796,-0.30461668537791686,-8.003724838480642e-18,-0.07637308653453012
2024-03-26,-0.0008632886847132925,-0.26020147695247886,-6.83672669312316e-18,-0.09439874104439466
2024-03-27,-0.0007394410852996091,-0.351987124779163,-5.8559282605896036e-18,-0.08085627527015028
2024-03-28,-0.0006348264269635533,-0.30218868440369656,-5.027443143382716e-18,-0.10761595434722614
2024-03-29,-0.000546079937288797,-0.25994377489585635,-4.324624369519268e-18,-0.09257162447111111
2024-04-01,-0.0004506012252592625,-0.21449420765781674,-3.56849044732599e-18,-0.07988292312677243
2024-04-02,-0.0003752374702091622,-0.3124209611616547,-2.9716548754383163e-18,-0.06652238011504809
2024-04-03,-0.00031476442926084506,-0.26207139035010935,-2.492744795199054e-18,-0.05902486182045378
2024-04-04,-0.00026559630536554345,-0.22113424055714506,-2.103362852590326e-18,-0.049804818355866094
2024-04-05,-0.00022518968858322705,-0.18749188057271912,-1.7833667719904674e-18,-0.04222773927546018
2024-04-08,-0.0001829926397156698,-0.1523588152153628,-1.4491915470949137e-18,-0.034314917027764326
2024-04-09,-0.0001505804625277911,-0.12537258821427352,-1.192506615522804e-18,-0.028236961255229433
2024-04-10,-0.00012512287253017203,-0.10417671795248411,-9.90897827916477e-19,-0.02346313488793682
2024-04-11,-0.00010477526202733374,-0.2335943203839539,-8.29757001760244e-19,-0.019647535707537807
2024-04-12,-8.828365384986277e-05,-0.19682661463247808,-6.991533927521069e-19,-0.0165550169748521
2024-04-15,-7.12784925404885e-05,-0.1589139525954555,-5.644827520923426e-19,-0.013366196373752493
2024-04-16,-5.836462919204272e-05,-0.13012275633364634,-4.622127283690666e-19,-0.010944579034397517
2024-04-17,-4.831048562414299e-05,-0.23173756272167467,-3.825899637894741e-19,-0.009059218492827242
2024-04-18,-4.032999611425812e-05,-0.19345644911965382,-3.1938929103359353e-19,-0.007562711115272901
2024-04-19,-3.389772079290642e-05,-0.16260186783223454,-2.6844954264385605e-19,-0.006356526023375901
2024-04-20,-2.8649015927071537e-05,-0.13742468202381625,-2.26882959766083e-19,-0.005372284950870492
2024-04-22,-2.378870127555625e-05,-0.19554269352709483,-1.8839219357930298e-19,-0.004460875102612574
2024-04-23,-1.9908911514561116e-05,-0.16365089197829033,-1.576665942607962e-19,-0.003733334017131871
2024-04-24,-1.6767579544440277e-05,-0.13782920009251334,-1.327891361029624e-19,-0.0031442690903738936
2024-04-25,-1.4194804911021859e-05,-0.22715600258950963,-1.1241430978686922e-19,-0.0026618204617620297
2024-04-26,-1.2067812573181762e-05,-0.3429612757962894,-9.556981089596891e-20,-0.0022629652635142747
2024-04-28,-1.0075662287098799e-05,-0.28634534813336765,-7.979317988162912e-20,-0.0018893957479316208
2024-04-29,-8.469599824163286e-06,-0.24070184580379278,-6.707413200621186e-20,-0.001588225710477269
2024-04-30,-7.158803358737918e-06,-0.2034496573590875,-5.669341308435857e-20,-0.0013424241742993818
2024-05-02,-5.944795986796934e-06,-0.16894816716920424,-4.70792055169865e-20,-0.0011147726015149392
2024-05-03,-4.975561257185313e-06,-0.1414029946370764,-3.940344992656256e-20,-0.0009330209781779139
2024-05-05,-4.094668969290522e-06,-0.11636847068640688,-3.24273132934075e-20,-0.0007678353957606402
2024-05-06,-3.4026685249747327e-06,-0.09670215967975786,-2.6947086350692426e-20,-0.0006380709535034636
2024-05-07,-0.03251695509784783,-0.08098123852045701,-2.2566284294202423e-20,-0.0005343394216815573
2024-05-08,-0.02740013132554406,-0.17445522188657292,-1.9015284528643736e-20,-0.00045025649795416933
2024-05-09,-0.023205551351557906,-0.17951391897355284,-1.6104308273243833e-20,-0.012628218605688385
