CNPJ_Companhia,Nome_Companhia,Codigo_CVM,Data_Referencia,Categoria,Tipo,Especie,Assunto,Data_Entrega,Tipo_Apresentacao,Protocolo_Entrega,Versao,Link_Download
38.199.406/0001-18,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,25720,2025-05-25,Fato Relevante,,,Mediação com credores,2025-02-26,AP - Apresentação,025720IPE250520250104571410-51,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1339898&numSequencia=864624&numVersao=1
38.199.406/0001-18,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,25720,2025-04-29,Fato Relevante,,,Mediação,2025-04-30,AP - Apresentação,025720IPE290420250196708149-38,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1368094&numSequencia=892820&numVersao=1
38.199.406/0001-18,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,25720,2025-07-07,Fato Relevante,,,Prorrogação de cautelar,2025-07-07,RE - Reapresentação Espontânea,025720IPE070720250281260673-30,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1398432&numSequencia=923144&numVersao=2
38.199.406/0001-18,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,25720,2025-07-15,Fato Relevante,,,Recuperação Extrajudicial,2025-07-15,AP - Apresentação,025720IPE150720250191249715-21,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1401039&numSequencia=925751&numVersao=1
38.199.406/0001-18,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,25720,2025-09-02,Fato Relevante,,,Rio Alto - Fato Relevante - Prorrogação - Recuperação Extrajudicial,2025-09-02,AP - Apresentação,025720IPE020920250105997588-33,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1419404&numSequencia=944116&numVersao=1
38.199.406/0001-18,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,25720,2025-09-24,Fato Relevante,,,Admissão à negociação das ações de emissão da Companhia no Segmento Básico de listagem da B3,2025-09-24,AP - Apresentação,025720IPE240920250111400672-37,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1426385&numSequencia=951097&numVersao=1
38.199.406/0001-18,RIO ALTO ENERGIAS RENOVÁVEIS S.A. - EM RECUPERAÇÃO JUDICIAL,25720,2025-10-29,Fato Relevante,,,RAER _ Fato Relevante Aumento de Capital,2025-10-29,AP - Apresentação,025720IPE291020250160650602-39,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1437196&numSequencia=961908&numVersao=1
38.307.135/0001-77,"G2D INVESTMENTS, LTD.",80195,2025-11-26,Fato Relevante,,,Substituição do Diretor de Relações com Investidores e Representante Legal no Brasil,2025-11-26,AP - Apresentação,080195IPE261120250195439662-80,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1450187&numSequencia=974899&numVersao=1
38.307.135/0001-77,"G2D INVESTMENTS, LTD.",80195,2025-11-26,Fato Relevante,,,Substituição do Diretor de Relações com Investidores e Representante Legal no Brasil,2025-11-26,AP - Apresentação,080195IPE261120250195439662-80,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1450187&numSequencia=974899&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-03-25,Fato Relevante,,,Aumento de Capital Privado,2025-03-25,AP - Apresentação,025747IPE250320250104574105-93,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1350963&numSequencia=875689&numVersao=1
